net_id,from_id,to_id,value
2005-06-30,JP,US,5741.08
2005-06-30,NL,AT,110.05
2005-06-30,NL,AU,514.32
2005-06-30,NL,CA,226.82
2005-06-30,NL,CH,124.74
2005-06-30,NL,DE,2043.05
2005-06-30,NL,ES,731.55
2005-06-30,NL,FI,56
2005-06-30,NL,FR,927.31
2005-06-30,NL,GB,2265.4
2005-06-30,NL,GR,150.93
2005-06-30,NL,IE,318.2
2005-06-30,NL,IT,736.61
2005-06-30,NL,JP,628.18
2005-06-30,NL,PT,94.11
2005-06-30,NL,SE,168.98
2005-06-30,NL,US,4168.71
2005-06-30,SE,AT,10.3
2005-06-30,SE,AU,6.78
2005-06-30,SE,BE,28.51
2005-06-30,SE,CA,9.47
2005-06-30,SE,CH,15.06
2005-06-30,SE,CL,0.09
2005-06-30,SE,DE,796.99
2005-06-30,SE,ES,23.07
2005-06-30,SE,FI,869.14
2005-06-30,SE,FR,47.68
2005-06-30,SE,GB,355.5
2005-06-30,SE,GR,3.62
2005-06-30,SE,IE,25.3
2005-06-30,SE,IN,1.22
2005-06-30,SE,IT,23.07
2005-06-30,SE,JP,4.44
2005-06-30,SE,KR,2.62
2005-06-30,SE,NL,54.33
2005-06-30,SE,PT,2.41
2005-06-30,SE,TR,2.32
2005-06-30,SE,US,340.18
2005-06-30,TR,AT,4.86
2005-06-30,TR,AU,0.09
2005-06-30,TR,BE,4.39
2005-06-30,TR,CA,0.52
2005-06-30,TR,CH,4.06
2005-06-30,TR,DE,29.97
2005-06-30,TR,ES,0.15
2005-06-30,TR,FI,0.01
2005-06-30,TR,FR,3.94
2005-06-30,TR,GB,13.25
2005-06-30,TR,GR,0.31
2005-06-30,TR,IE,6.89
2005-06-30,TR,IN,0.26
2005-06-30,TR,IT,4.31
2005-06-30,TR,JP,4.03
2005-06-30,TR,NL,12.27
2005-06-30,TR,PT,0.03
2005-06-30,TR,SE,1.5
2005-06-30,TR,US,11.98
2005-06-30,US,AT,83.36
2005-06-30,US,AU,343.55
2005-06-30,US,BE,210.19
2005-06-30,US,CA,367.76
2005-06-30,US,CH,161.37
2005-06-30,US,CL,87.4
2005-06-30,US,DE,1239.29
2005-06-30,US,ES,240.53
2005-06-30,US,FI,32.01
2005-06-30,US,FR,400.48
2005-06-30,US,GB,1304.7
2005-06-30,US,GR,78.08
2005-06-30,US,IE,96.17
2005-06-30,US,IN,177.73
2005-06-30,US,IT,370.66
2005-06-30,US,JP,738.21
2005-06-30,US,KR,547.62
2005-06-30,US,NL,432.76
2005-06-30,US,PT,32.83
2005-06-30,US,SE,85.82
2005-06-30,US,TR,61.56
2005-09-30,AT,AU,16.15
2005-09-30,AT,BE,18.47
2005-09-30,AT,CA,8.22
2005-09-30,AT,CH,61.44
2005-09-30,AT,CL,1.62
2005-09-30,AT,DE,410.27
2005-09-30,AT,ES,36.82
2005-09-30,AT,FI,10.26
2005-09-30,AT,FR,64.34
2005-09-30,AT,GB,233.31
2005-09-30,AT,GR,46.11
2005-09-30,AT,IE,49.42
2005-09-30,AT,IN,3.18
2005-09-30,AT,IT,179.17
2005-09-30,AT,JP,10.95
2005-09-30,AT,KR,8.49
2005-09-30,AT,NL,87.06
2005-09-30,AT,PT,20.03
2005-09-30,AT,SE,7.18
2005-09-30,AT,TR,8.93
2005-09-30,AT,US,216.25
2005-09-30,AU,AT,6.84
2005-09-30,AU,BE,9.88
2005-09-30,AU,CA,21.75
2005-09-30,AU,CH,29.14
2005-09-30,AU,DE,112.74
2005-09-30,AU,ES,8.64
2005-09-30,AU,FI,1.81
2005-09-30,AU,FR,37.86
2005-09-30,AU,GB,731.94
2005-09-30,AU,GR,0.79
2005-09-30,AU,IE,10.11
2005-09-30,AU,IN,4.78
2005-09-30,AU,IT,18.36
2005-09-30,AU,JP,16.23
2005-09-30,AU,KR,18.17
2005-09-30,AU,NL,77.1
2005-09-30,AU,PT,1.31
2005-09-30,AU,SE,5.35
2005-09-30,AU,TR,0.96
2005-09-30,AU,US,239.29
2005-09-30,BE,AT,61.25
2005-09-30,BE,AU,58.65
2005-09-30,BE,CA,37.15
2005-09-30,BE,CH,97.2
2005-09-30,BE,CL,1.86
2005-09-30,BE,DE,532.44
2005-09-30,BE,ES,199.95
2005-09-30,BE,FI,25.36
2005-09-30,BE,FR,679.63
2005-09-30,BE,GB,1329.04
2005-09-30,BE,GR,133.05
2005-09-30,BE,IE,227.55
2005-09-30,BE,IN,7.09
2005-09-30,BE,IT,758.39
2005-09-30,BE,JP,98.35
2005-09-30,BE,KR,14.54
2005-09-30,BE,NL,1604.25
2005-09-30,BE,PT,73.76
2005-09-30,BE,SE,17.17
2005-09-30,BE,TR,72.11
2005-09-30,BE,US,635.77
2005-09-30,CH,AT,124.85
2005-09-30,CH,CA,140.12
2005-09-30,CH,DE,1015.6
2005-09-30,CH,ES,137.84
2005-09-30,CH,FR,608.12
2005-09-30,CH,GB,2266.68
2005-09-30,CH,IE,130.31
