IngredientName,IngredientId,PortionUOMTypeId
Mini R&D Ingredients (Drink Cost)                  ,493,11
Mini R&D Ingredients (Misc Cost)                   ,494,11
"Protein, Beef Shredded                             ",495,13
Ice Cream                                          ,496,12
4 oz Ice Cream dish                                ,497,11
8 oz Ice Cream dish                                ,498,11
Ice Cream Cone                                     ,499,11
"Ice Cream Bowl, Waffle                             ",500,11
"Ice Cream, 16 oz. Cup, Shakes                      ",501,11
"Ice Cream, 20 oz Cup, Shakes                       ",502,11
"Ice Cream, Lid, 4 & 8oz dish                       ",503,11
"Ice Cream, Lid, 16 & 20 oz cup, shakes             ",504,11
"Ice Cream, milk                                    ",505,12
Delivery Fee                                       ,506,11
"Box, Pizza, Flatizza                               ",507,11
"Spinach,Baby Spinach - Metric                      ",508,13
"Nontrad, beverage, beer                            ",509,12
"Nontrad, pizza, 14 inch                            ",510,11
"Tray, Catering, 18 inch                            ",511,11
Syrup Flavoring                                    ,512,12
"Walmart, Popcorn Kit, 22 oz.                       ",513,15
"Protein, Chicken, Golden Herb Schnitzel            ",514,13
Red Wine Vinegar                                   ,515,15
Hot Pepper Mix                                     ,516,15
Nontraditional Mango Fruit Cup                     ,517,11
Nontraditional Pineapple Fruit Cup                 ,518,11
Nontraditional Grape Fruit Cup                     ,519,11
Nontraditional Watermelon Fruit Cup                ,520,11
Nontraditional Honeydew Fruit Cup                  ,521,11
Nontraditional Strawberries & Blueberries Fruit Cup,522,11
Nontraditional Veggie Cup                          ,523,11
Nontraditional Hand Fruit                          ,524,11
"Sauce, Garlic                                      ",525,13
"Sauce, Curry                                       ",526,13
"Nontradtional, Yogurt 6 oz.                        ",527,11
House Sandwich Sauce                               ,528,15
"Tabasco Packets, PC Packets                        ",529,11
"Picante Packets, PC packets                        ",530,11
Ketchup                                            ,531,15
"Sauce, Cole Slaw                                   ",532,15
"Produce, cole slaw                                 ",533,15
"Protein,Chicken,Breaded                            ",534,13
GR Toppings Chocolate                              ,535,15
"GR Toppings Fruit, liquid                          ",536,15
GR Toppings Fruit                                  ,537,15
GR Toppings RTU                                    ,538,15
GR Topping Banana                                  ,539,11
GR Toppings Hot Fudge PC Packets                   ,540,11
GR Topping Whipped Cream                           ,541,15
GR Ice Cream Milk                                  ,542,12
GR Ice Cream Icing Brownie                         ,543,11
GR Ice Cream Malted Milk Mix                       ,544,15
GR Ice Cream Dipping Chocolate                     ,545,15
Ice Cream Bowl 12 oz                               ,546,11
Ice Cream Bowl 16 oz                               ,547,11
Ice Cream Lid 5 oz/12 oz bowl                      ,548,11
"Ice Cream, 22 oz cup, Shakes                       ",549,11
"Ice Cream, Lid, 16 oz/22 oz cup, shakes            ",550,11
"Ice Cream, 32 oz cup, shakes                       ",551,11
"Ice Cream, Lid, 32 oz cup, Shakes                  ",552,11
"Ice Cream, 5 oz bowl                               ",553,11
"Ice Cream, Spoon                                   ",554,11
"Ice Cream, Straw                                   ",555,11
Thin Sliced Turkey                                 ,556,15
Thin Sliced Ham                                    ,557,15
Thin Sliced Roast Beef                             ,558,15
Fish Fillet 3 oz                                   ,559,15
Protein - Cold Cut Combo Metric                    ,560,13
Lid Soup Bowl 12 oz                                ,561,11
"Baked Fries, Box                                   ",562,11
Baked Fries                                        ,563,15
Peri-Peri Seasoning                                ,564,13
Lemons                                             ,565,15
Poblano Lime Glaze                                 ,566,15
"Dairy Base, Cream Cheese                           ",567,15
Muffaletta                                         ,568,15
Ranchero Seasoning                                 ,569,15
Smoky Hickory Sauce                                ,570,15
Jerk Sauce                                         ,571,15
Smokey BBQ Sauce                                   ,572,NA
"Side, Fruit Crisps                                 ",573,11
Cranberry Sauce                                    ,574,15
"Smoothie Cup 20 oz., nontrad                       ",575,11
"Smoothie cup 32 oz., nontrad                       ",576,11
"Smoothie Lid 20 oz., nontrad                       ",577,11
"Smoothie Lid 32 oz., nontrad                       ",578,11
"Smoothie, Pineapple, nontrad                       ",579,15
"Smoothie, Mango, nontrad                           ",580,15
"Smoothie, Banana, nontrad                          ",581,15
"Smoothie, Strawberry, nontrad                      ",582,15
"Smoothie mix, nontrad                              ",583,12
"Smoothie Orange Mix, nontrad                       ",584,12
"Smoothie Mangosteen Syrup, nontrad                 ",585,12
"Smoothie Kiwi-Lime Syrup, nontrad                  ",586,12
"Smoothie Coco Syrup, nontrad                       ",587,12
"Smoothie Booster, nontrad                          ",588,11
"Protein, Beef Churrasco / American Steahouse       ",589,13
Montreal Smoked Meat                               ,590,13
Coffee Packet in Metric                            ,591,13
Tea with Milk powdered                             ,592,11
Old Bay Seasoning                                  ,593,11
"Sauce, Hollandaise                                 ",594,13
"Cutlery, Spoon - Spain                             ",595,11
Doughnuts                                          ,596,11
"Bread, Baby Sub                                    ",597,11
Produce Sweet Corn                                 ,598,13
"Protein, Chicken Tikka Diced                       ",599,13
Creamers -metric                                   ,600,13
"Syrup toppings , yogurt machine                    ",601,13
test imperial                                      ,602,15
test metric                                        ,603,13
"Milk, bulk per Liter                               ",604,11
"Cleaner, Vegi Wash                                 ",605,11
"Cup, Hot 100 mL Espresso                           ",606,11
Fajita seasoning                                   ,607,11
"Protein, Chicken Fajita Strips                     ",608,13
Chicken Slice                                      ,610,13
Egg Mayo                                           ,612,13
Protein Chicken Tandoori                           ,614,13
Cutlery Spoon Asia                                 ,616,11
Capocollo                                          ,618,15
Mortadella                                         ,620,15
"Flavoured Tea, packets                             ",622,11
white coffee mix white - metric                    ,624,13
"Cutlery, fork                                      ",626,11
"Cutlery, knife                                     ",628,11
D&W Turkey                                         ,630,15
D&W Ham                                            ,632,15
D&W Chicken                                        ,634,15
D&W Roast Beef                                     ,636,15
D&W Lacey Swiss Cheese                             ,638,15
D&W Picante Provolone Cheese                       ,640,15
D&W Horseradish Cheddar Cheese                     ,642,15
D&W Buffalo Wing Cheese                            ,644,15
D&W Zesty Honey Mustard                            ,646,15
D&W Wasabi Mustard                                 ,648,15
D&W Cranberry Honey Mustard                        ,650,15
D&W Horseradish Sauce                              ,652,15
"Skinny Pop, Popcorn                                ",654,11
"Sauce, Mexican, 10/940 Gram                        ",656,13
"Topping, Sour Cream                                ",658,13
Premium Bottle Beverage                            ,660,NA
"Sauce, Vietnamese - Metric                         ",662,13
coriander - metric                                 ,664,NA
"Seasoning, Chicken Fajita                          ",666,15
"Cleaning, Towels-Paper Folded                      ",668,11
"Produce, Coriander                                 ",670,13
"Cleaning, pads, scrubbing                          ",672,11
"Icing, cookies                                     ",674,15
Malibu Veggie Patty                                ,676,11
Black Bean Veggie Patty                            ,678,11
"Beer, canned beverage                              ",680,11
Canned Beverages                                   ,682,11
"Beverage, Coffee Iced - bottle or can              ",684,11
"Water, Small Bottle                                ",686,11
Guacamole - metric                                 ,688,13
Salad Dressing Packet - metric                     ,689,11
"Chicken, cutlettes, breaded                        ",691,13
"Vegan, Fire Roasted Tomato Sauce                   ",693,15
"Vegan, Sweet Potato Curry Sauce                    ",695,15
"Cleaner, Milk Frother                              ",697,11
"Spread, Cream Cheese                               ",699,13
"Pan Liner, Urn Liner                               ",701,11
"Pan Liner, Urn Liner Spigots                       ",703,11
"Sauce, Peri-Peri                                   ",705,13
Chorizo - Metric                                   ,707,13
"Cheese, muenster, sliced                           ",709,15
"Sauce, Vera Cruz Green Chili                       ",711,15
"Spread, Smoked Gouda                               ",713,15
"Sauce, Bistro Aioli                                ",715,12
Apple Whole Each                                   ,717,11
"Box, Toasties                                      ",719,11
"Sauce, Chili Sauce  PC packets                     ",721,11
"Cleaning, Hard Surface                             ",723,11
Lid Soup Bowl 10 oz                                ,725,11
"Beverage, Hot Chocolate                            ",727,11
"Side, Fruit Cup                                    ",729,11
