StoreNumber,Quantity,PLU,Id,date
12631,1,121000004,2,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,221000133,279,2015/3/6
12631,1,221000133,279,2015/3/6
12631,1,174000037,1247,2015/3/6
12631,1,311000100,277,2015/3/6
46673,1,124000032,222,2015/3/6
12631,1,111000018,33,2015/3/6
12631,1,111000010,80,2015/3/6
12631,1,221000133,279,2015/3/6
12631,1,111000044,101,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,111000003,58,2015/3/6
12631,1,111000002,69,2015/3/6
12631,1,111000018,33,2015/3/6
12631,1,111000018,33,2015/3/6
46673,1,221000133,279,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,121000018,34,2015/3/6
46673,1,212000126,280,2015/3/6
46673,1,121000017,49,2015/3/6
12631,1,121000006,75,2015/3/6
12631,1,121000006,75,2015/3/6
46673,1,111000018,33,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,174000036,906,2015/3/6
12631,2,111000050,85,2015/3/6
12631,1,121000731,7040,2015/3/6
12631,2,321000101,276,2015/3/6
12631,1,111000021,38,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,311000100,277,2015/3/6
12631,2,311000100,277,2015/3/6
12631,1,311000100,277,2015/3/6
46673,1,212000126,280,2015/3/6
46673,1,111000017,48,2015/3/6
12631,1,121000006,75,2015/3/6
46673,1,121000018,34,2015/3/6
46673,1,111000010,80,2015/3/6
12631,1,111000021,38,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,111000010,80,2015/3/6
12631,1,111000003,58,2015/3/6
12631,1,111000010,80,2015/3/6
46673,1,215000145,281,2015/3/6
12631,1,111000006,74,2015/3/6
12631,2,321000101,276,2015/3/6
20974,1,111000003,58,2015/3/6
12631,1,121000018,34,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,131000256,1229,2015/3/6
12631,1,111000006,74,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,221000133,279,2015/3/6
46673,1,111000044,101,2015/3/6
46673,1,121000012,13,2015/3/6
12631,1,311000100,277,2015/3/6
46673,1,321000101,276,2015/3/6
46673,1,121000026,143,2015/3/6
20974,1,121000012,13,2015/3/6
46673,1,221000134,365,2015/3/6
12631,2,321000101,276,2015/3/6
12631,1,111000050,85,2015/3/6
12631,1,111000018,33,2015/3/6
12631,1,321000177,340,2015/3/6
46673,1,121000012,13,2015/3/6
12631,2,111000003,58,2015/3/6
12631,1,111000004,1,2015/3/6
46673,1,131000006,78,2015/3/6
12631,1,121000012,13,2015/3/6
12631,1,111000015,53,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,111000003,58,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,111000021,38,2015/3/6
46673,1,111000004,1,2015/3/6
46673,1,121000012,13,2015/3/6
46673,1,212000126,280,2015/3/6
12631,1,121000044,102,2015/3/6
46673,1,212000126,280,2015/3/6
12631,1,111000002,69,2015/3/6
12631,1,111000003,58,2015/3/6
12631,1,121000004,2,2015/3/6
12631,1,111000002,69,2015/3/6
46673,1,212000126,280,2015/3/6
12631,1,311000100,277,2015/3/6
46673,1,172000005,584,2015/3/6
46673,1,121000010,81,2015/3/6
12631,1,331000287,1468,2015/3/6
12631,1,121000008,8,2015/3/6
12631,1,321000101,276,2015/3/6
12631,1,111000021,38,2015/3/6
46673,1,212000126,280,2015/3/6
46673,1,212000126,280,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,111000008,7,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,212000126,280,2015/3/6
12631,2,321000101,276,2015/3/6
12631,2,321000101,276,2015/3/6
12631,1,121000012,13,2015/3/6
12631,1,121000003,59,2015/3/6
46673,1,212000126,280,2015/3/6
46673,1,111000004,1,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,221000133,279,2015/3/6
12631,1,111000002,69,2015/3/6
12631,1,221000134,365,2015/3/6
12631,1,221000133,279,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,111000027,96,2015/3/6
12631,1,121000004,2,2015/3/6
12631,1,121000007,24,2015/3/6
12631,1,111000019,206,2015/3/6
12631,1,321000177,340,2015/3/6
46673,2,311000100,277,2015/3/6
46673,1,121000004,2,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,111000014,63,2015/3/6
46673,1,321000177,340,2015/3/6
46673,2,111000006,74,2015/3/6
46673,1,121000006,75,2015/3/6
46673,1,172000006,588,2015/3/6
46673,2,174000036,906,2015/3/6
12631,1,311000100,277,2015/3/6
46673,1,121000004,2,2015/3/6
12631,1,121000002,70,2015/3/6
12631,1,111000006,74,2015/3/6
12631,1,221000133,279,2015/3/6
46673,1,111000026,142,2015/3/6
12631,1,111000026,142,2015/3/6
12631,1,111000021,38,2015/3/6
46673,1,321000177,340,2015/3/6
46673,1,212000126,280,2015/3/6
12631,1,212000126,280,2015/3/6
46673,1,121000008,8,2015/3/6
12631,1,121000003,59,2015/3/6
12631,2,121000008,8,2015/3/6
12631,1,111000014,63,2015/3/6
12631,1,311000100,277,2015/3/6
12631,2,175000036,907,2015/3/6
12631,1,321000101,276,2015/3/6
12631,1,111000019,206,2015/3/6
46673,2,121000008,8,2015/3/6
46673,2,321000101,276,2015/3/6
12631,1,111000008,7,2015/3/6
12631,1,111000003,58,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,215000145,281,2015/3/6
12631,2,321000101,276,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,212000126,280,2015/3/6
12631,2,212000126,280,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,121000002,70,2015/3/6
12631,1,321000177,340,2015/3/6
12631,3,331000287,1468,2015/3/6
46673,1,111000006,74,2015/3/6
12631,1,121000004,2,2015/3/6
12631,1,221000136,916,2015/3/6
46673,1,111000054,152,2015/3/6
46673,1,121000003,59,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,172000004,580,2015/3/6
46673,1,111000008,7,2015/3/6
12631,2,311000100,277,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,111000002,69,2015/3/6
12631,1,111000026,142,2015/3/6
12631,1,111000005,43,2015/3/6
46673,1,321000101,276,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,111000004,1,2015/3/6
12631,1,321000101,276,2015/3/6
12631,1,221000135,278,2015/3/6
12631,1,111000010,80,2015/3/6
12631,1,121000018,34,2015/3/6
46673,1,174000038,1232,2015/3/6
12631,1,111000002,69,2015/3/6
12631,2,111000002,69,2015/3/6
12631,1,172000008,560,2015/3/6
12631,1,111000026,142,2015/3/6
46673,1,311000100,277,2015/3/6
12631,1,111000001,90,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,321000177,340,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,212000126,280,2015/3/6
46673,2,121000018,34,2015/3/6
12631,1,212000126,280,2015/3/6
12631,1,111000011,18,2015/3/6
46673,1,121000002,70,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,111000002,69,2015/3/6
12631,1,321000101,276,2015/3/6
46673,1,121000005,44,2015/3/6
12631,1,121000004,2,2015/3/6
46673,1,121000008,8,2015/3/6
12631,1,111000014,63,2015/3/6
12631,1,212000126,280,2015/3/6
46673,2,221000133,279,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,221000133,279,2015/3/6
12631,1,311000100,277,2015/3/6
12631,1,121000010,81,2015/3/6
46673,1,212000126,280,2015/3/6
46673,1,121000010,81,2015/3/6
12631,1,321000101,276,2015/3/6
46673,1,321000101,276,2015/3/6
12631,1,111000010,80,2015/3/6
12631,1,221000133,279,2015/3/6
46673,1,111000010,80,2015/3/6
12631,1,151000317,1509,2015/3/6
12631,1,212000126,280,2015/3/6
46673,1,121000006,75,2015/3/6
